question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,correct,explanation,explanation_summary,explanation_correct,explanation_choices,explanation_point
1,single,区分所有法,誤り選択;区分所有法,管理組合の集会に関する次の記述のうち、区分所有法の定めによれば、内容が正確でないものはどれか。,,,,,,管理者は、少なくとも毎年1回集会を招集しなければならない。,区分所有者の5分の1以上で議決権の5分の1以上を有するものは、管理者に対し、会議の目的たる事項を示して集会の招集を請求することができる。,集会の招集通知は、規約で別段の定めをすることにより、通知期間を伸縮することができる。,集会においては、あらかじめ通知した事項以外についても、常に決議をすることができる。,4,正解は4。選択肢1（正しい）　管理者は、少なくとも毎年1回集会を招集しなければならない（区分所有法第34条第2項）。本肢の記述は正当である。選択肢2（正しい）　区分所有者及び議決権の各5分の1以上を有するものは、管理者に対して集会の招集を請求することができる（同法第34条第3項）。本肢の記述は正当である。選択肢3（正しい）　招集通知期間については、規約で別段の定めをすることができる（同法第35条第1項）。本肢の記述は正当である。選択肢4（誤り）　集会では、原則としてあらかじめ通知した事項についてのみ決議することができる（同法第37条第1項）。「常に決議をすることができる」とする本肢の記述は誤っている。,正解は4。選択肢1（正しい）　管理者は、少なくとも毎年1回集会を招集しなければならない（区分所有法第34条第2項）。本肢の記述は正当である。選択肢2（正しい）　区分所有者及び議決権の各5分の1以上を有するものは、管理者に対して集会の招集を請求することができる（同法第34条第3項）。本肢の記述は正当である。選択肢3（正しい）　招集通知期間については、規約で別段,選択肢4（誤り）　集会では、原則としてあらかじめ通知した事項についてのみ決議することができる（同法第37条第1項）。,1:選択肢1（正しい）　管理者は、少なくとも毎年1回集会を招集しなければならない（区分所有法第34条第2項）。;2:選択肢2（正しい）　区分所有者及び議決権の各5分の1以上を有するものは、管理者に対して集会の招集を請求することができる（同法第34条第3項）。;3:選択肢3（正しい）　招集通知期間については、規約で別段の定めをすることができる（同法第35条第1項）。,
2,single,区分所有法,組合せ;区分所有法,共用部分に関する次の記述のうち、区分所有法の定めによれば、正しいものの組合せはどれか。ア 共用部分は、規約で別段の定めをしない限り、区分所有者全員の共有に属する。イ 各共有者は、共用部分をその持分割合に応じた範囲でのみ使用することができる。ウ 共用部分の持分割合は、原則として各共有者の有する専有部分の床面積の割合による。エ 共用部分の管理に関する事項は、すべて区分所有者及び議決権の各4分の3以上の多数で決しなければならない。,,,,,,アとウ,アとエ,イとウ,イとエ,1,正解は1（アとウ）。ア（正しい）　共用部分は、規約に別段の定めがない限り、区分所有者全員の共有に属する（区分所有法第11条第1項）。本肢の記述は正当である。イ（誤り）　各共有者は、共用部分の全部について、その用方に従って使用することができる（同法第13条）。「持分割合に応じた範囲でのみ」とする本肢の記述は誤っている。ウ（正しい）　共用部分の持分割合は、原則として専有部分の床面積の割合による（同法第14条第1項）。本肢の記述は正当である。エ（誤り）　共用部分の管理に関する事項は、原則として集会の普通決議で決する（同法第18条第1項）。すべて特別多数決議が必要となるわけではない。,正解は1（アとウ）。ア（正しい）　共用部分は、規約に別段の定めがない限り、区分所有者全員の共有に属する（区分所有法第11条第1項）。本肢の記述は正当である。イ（誤り）　各共有者は、共用部分の全部について、その用方に従って使用することができる（同法第13条）。「持分割合に応じた範囲でのみ」とする本肢の記述は誤っている。ウ（正しい）　共用部分の持分割合は、原則と,正解は1（アとウ）。ア（正しい）　共用部分は、規約に別段の定めがない限り、区分所有者全員の共有に属する（区分所有法第11条第1項）。本肢の記述は正当である。イ（誤り）　各共有者は、共用部分の全部について、その用方に従って使用することができる（同法第13条）。「持分割合に応じた範囲でのみ」とする本肢の記述は誤っている。ウ（正しい）　共用部分の持分割合は、原則として専有部分の床面積の割合による（同法第14条第1項）。本肢の記述は正当である。エ（誤り）　共用部分の管理に関する事項は、原則として集会の普通決議で決する（同法第18条第1項）。すべて特別多数決議が必要となるわけではない。,2:（2）「アとエ」は正答（1）「アとウ」と異なる組合せです。 ア：正しい　共用部分は、規約に別段の定めがない限り、区分所有者全員の共有に属する（区分所有法第11条第1項）。 エ：誤り　共用部分の管理に関する事項は、原則として集会の普通決議で決する（同法第18条第1項）。;3:（3）「イとウ」は正答（1）「アとウ」と異なる組合せです。 イ：誤り　各共有者は、共用部分の全部について、その用方に従って使用することができる（同法第13条）。 ウ：正しい　共用部分の持分割合は、原則として専有部分の床面積の割合による（同法第14条第1項）。;4:（4）「イとエ」は正答（1）「アとウ」と異なる組合せです。 イ：誤り　各共有者は、共用部分の全部について、その用方に従って使用することができる（同法第13条）。 エ：誤り　共用部分の管理に関する事項は、原則として集会の普通決議で決する（同法第18条第1項）。,
3,single,区分所有法,正解選択;区分所有法,規約に関する次の記述のうち、区分所有法の定めによれば、内容が正確なものはどれか。,,,,,,規約の設定、変更又は廃止は、常に区分所有者全員の承諾を得なければすることができない。,規約の設定、変更又は廃止が一部の区分所有者の権利に特別の影響を及ぼすべきときは、その承諾を得なければならない。,規約は、専有部分の使用方法については一切定めることができない。,規約は、書面で作成されていれば、集会の決議を経なくても当然に効力を生じる。,2,正解は2。選択肢1（誤り）　規約の設定、変更又は廃止は、原則として区分所有者及び議決権の各4分の3以上の多数による集会決議で行う（区分所有法第31条第1項）。全員の承諾が常に必要ではない。選択肢2（正しい）　規約の設定、変更又は廃止が一部の区分所有者の権利に特別の影響を及ぼすべきときは、その承諾を得なければならない（同法第31条第1項後段）。本肢の記述は正当である。選択肢3（誤り）　建物又は敷地等の管理又は使用に関する区分所有者相互間の事項は規約で定めることができる（同法第30条第1項）。専有部分の使用に関する事項が一切定められないわけではない。選択肢4（誤り）　規約の設定等には、原則として集会の特別多数決議が必要である。書面作成のみで当然に効力を生じるわけではない。,選択肢2（正しい）　規約の設定、変更又は廃止が一部の区分所有者の権利に特別の影響を及ぼすべきときは、その承諾を得なければならない（同法第31条第1項後段）。,選択肢2（正しい）　規約の設定、変更又は廃止が一部の区分所有者の権利に特別の影響を及ぼすべきときは、その承諾を得なければならない（同法第31条第1項後段）。,1:選択肢1（誤り）　規約の設定、変更又は廃止は、原則として区分所有者及び議決権の各4分の3以上の多数による集会決議で行う（区分所有法第31条第1項）。;3:選択肢3（誤り）　建物又は敷地等の管理又は使用に関する区分所有者相互間の事項は規約で定めることができる（同法第30条第1項）。;4:（4）の内容は、正答（2）「規約の設定、変更又は廃止が一部の区分所有者の権利に特別の影響を及ぼすべきときは、その承諾を得なければならない。」が示す論点とずれています。,
4,single,区分所有法,いくつあるか;区分所有法,管理者に関する次の記述のうち、区分所有法の定めによれば、正しいものはいくつあるか。ア 管理者は、規約に別段の定めがない限り、集会の決議によって選任することができる。イ 管理者は、区分所有者でなければならず、外部の第三者を選任することはできない。ウ 管理者は、その職務に関し、区分所有者を代理する。エ 管理者に不正な行為その他職務を行うに適しない事情があるときは、各区分所有者は、その解任を裁判所に請求することができる。,,,,,,一つ,二つ,三つ,四つ,3,正解は3（三つ）。ア、ウ、エが正しい。ア（正しい）　管理者は、規約に別段の定めがない限り、集会の決議によって選任又は解任することができる（区分所有法第25条第1項）。イ（誤り）　区分所有法は、管理者を区分所有者に限定していない。外部の第三者を管理者に選任することもできる。ウ（正しい）　管理者は、その職務に関し、区分所有者を代理する（同法第26条第2項）。エ（正しい）　管理者に不正な行為その他職務を行うに適しない事情があるときは、各区分所有者は、その解任を裁判所に請求できる（同法第25条第2項）。したがって、正しいものは三つである。,ア、ウ、エが正しい。,正解は3（三つ）。ア、ウ、エが正しい。ア（正しい）　管理者は、規約に別段の定めがない限り、集会の決議によって選任又は解任することができる（区分所有法第25条第1項）。イ（誤り）　区分所有法は、管理者を区分所有者に限定していない。外部の第三者を管理者に選任することもできる。ウ（正しい）　管理者は、その職務に関し、区分所有者を代理する（同法第26条第2項）。エ（正しい）　管理者に不正な行為その他職務を行うに適しない事情があるときは、各区分所有者は、その解任を裁判所に請求できる（同法第25条第2項）。したがって、正しいものは三つである。,1:（1）の内容は、正答（3）「三つ」が示す論点とずれています。 選択肢（1）「一つ」は本問の正答（3）とは異なるため不適です。;2:（2）の内容は、正答（3）「三つ」が示す論点とずれています。 選択肢（2）「二つ」は本問の正答（3）とは異なるため不適です。;4:（4）の内容は、正答（3）「三つ」が示す論点とずれています。 選択肢（4）「四つ」は本問の正答（3）とは異なるため不適です。,
5,single,区分所有法,誤り選択;区分所有法,共同の利益に反する行為をする区分所有者に対する措置に関する次の記述のうち、区分所有法の定めによれば、誤っているものはどれか。,,,,,,行為の停止等の請求をするには、必ず当該区分所有者の専有部分の使用禁止請求を併せて行わなければならない。,共同の利益に反する行為をする区分所有者に対しては、その行為の停止等を請求することができる。,専有部分の使用禁止請求をするには、集会の決議が必要である。,区分所有権及び敷地利用権の競売請求は、共同生活上の障害が著しく、他の方法によってはその障害を除去して共用部分の利用の確保その他区分所有者の共同生活の維持を図ることが困難であるときに認められる。,1,正解は1。選択肢1（誤り）　行為の停止等の請求、使用禁止請求、競売請求は、それぞれ要件と効果が異なる。行為の停止等の請求に、必ず使用禁止請求を併せなければならないわけではない。選択肢2（正しい）　共同の利益に反する行為をする区分所有者に対しては、その行為の停止等を請求することができる（区分所有法第57条第1項）。本肢の記述は正当である。選択肢3（正しい）　専有部分の使用禁止請求をするには、集会の決議が必要である（同法第58条第2項）。本肢の記述は正当である。選択肢4（正しい）　競売請求は、共同生活上の障害が著しく、他の方法によっては障害を除去して共同生活の維持を図ることが困難である場合に認められる（同法第59条第1項）。本肢の記述は正当である。,選択肢1（誤り）　行為の停止等の請求、使用禁止請求、競売請求は、それぞれ要件と効果が異なる。,選択肢1（誤り）　行為の停止等の請求、使用禁止請求、競売請求は、それぞれ要件と効果が異なる。,2:選択肢2（正しい）　共同の利益に反する行為をする区分所有者に対しては、その行為の停止等を請求することができる（区分所有法第57条第1項）。;3:選択肢3（正しい）　専有部分の使用禁止請求をするには、集会の決議が必要である（同法第58条第2項）。;4:選択肢4（正しい）　競売請求は、共同生活上の障害が著しく、他の方法によっては障害を除去して共同生活の維持を図ることが困難である場合に認められる（同法第59条第1項）。,
6,single,標準管理規約（単棟型）,誤り選択;標準管理規約（単棟型）,標準管理規約（単棟型）における総会に関する次の記述のうち、内容が正確でないものはどれか。,,,,,,通常総会は、毎年1回新会計年度開始以後一定期間内に招集するものとされている。,理事長は、必要があると認めるときは、臨時総会を招集することができる。,組合員は、議決権総数の100分の1以上を有していれば、単独で当然に臨時総会を招集することができる。,総会の議事については、議長が議事録を作成しなければならない。,3,正解は3。選択肢1（正しい）　標準管理規約では、理事長は通常総会を毎年1回、新会計年度開始後一定期間内に招集するものとされている。本肢の記述は正当である。選択肢2（正しい）　理事長は、必要があると認めるときは臨時総会を招集できる。本肢の記述は正当である。選択肢3（誤り）　組合員が総会の招集を請求するには、一定割合以上の組合員数及び議決権数を満たして、会議の目的を示して理事長に請求するのが原則である。100分の1以上の議決権だけで単独かつ当然に招集できるわけではない。選択肢4（正しい）　総会の議事については議事録を作成するものとされている。本肢の記述は正当である。,選択肢3（誤り）　組合員が総会の招集を請求するには、一定割合以上の組合員数及び議決権数を満たして、会議の目的を示して理事長に請求するのが原則である。,選択肢3（誤り）　組合員が総会の招集を請求するには、一定割合以上の組合員数及び議決権数を満たして、会議の目的を示して理事長に請求するのが原則である。,1:（1）「通常総会は、毎年1回新会計年度開始以後一定期間内に招集するものとされている。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（3）「組合員は、議決権総数の100分の1以上を有していれば、単独で当然に臨時総会を招集することができる。」です。問題文の条件（標準管理規約（単棟型）における総会に関する次の記述のうち、内容が正確でないものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;2:（2）の内容は、正答（3）「組合員は、議決権総数の100分の1以上を有していれば、単独で当然に臨時総会を招集することができる。」が示す論点とずれています。;4:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（4）「総会の議事については、議長が議事録を作成しなければならない。」は本問の正答（3）とは異なるため不適です。,
7,single,標準管理規約（単棟型）,正解選択;標準管理規約（単棟型）,標準管理規約（単棟型）における役員に関する次の記述のうち、内容が正確なものはどれか。,,,,,,理事長は、管理組合を代表し、その業務を統括する。,監事は、理事会の決議に参加し、理事長と同じ議決権を有する。,理事は、任期中であれば、総会の決議によって解任されることはない。,役員は、すべて区分所有者本人でなければならず、外部専門家を選任することは一切認められない。,1,正解は1。選択肢1（正しい）　標準管理規約では、理事長は管理組合を代表し、その業務を統括するものとされている。本肢の記述は正当である。選択肢2（誤り）　監事は管理組合の業務の執行及び財産の状況を監査する立場であり、理事会の決議に理事と同様に参加するものではない。選択肢3（誤り）　役員は、総会の決議により選任され、解任され得る。任期中であれば解任されないというわけではない。選択肢4（誤り）　標準管理規約では外部専門家を役員として活用する考え方も示されており、役員がすべて区分所有者本人に限られるとはいえない。,選択肢1（正しい）　標準管理規約では、理事長は管理組合を代表し、その業務を統括するものとされている。,選択肢1（正しい）　標準管理規約では、理事長は管理組合を代表し、その業務を統括するものとされている。,2:選択肢2（誤り） 監事は管理組合の業務の執行及び財産の状況を監査する立場であり、理事会の決議に理事と同様に参加するものではない。;3:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（3）「理事は、任期中であれば、総会の決議によって解任されることはない。」は本問の正答（1）とは異なるため不適です。;4:選択肢4（誤り）　標準管理規約では外部専門家を役員として活用する考え方も示されており、役員がすべて区分所有者本人に限られるとはいえない。,
8,single,標準管理規約（単棟型）,正解選択;標準管理規約（単棟型）,管理費及び修繕積立金に関する次の記述のうち、標準管理規約（単棟型）の考え方によれば、内容が正確なものはどれか。,,,,,,管理費は、長期修繕計画に基づく大規模修繕工事の費用に充てることを主たる目的とする。,修繕積立金は、日常の清掃費や管理員業務費に充てることを主たる目的とする。,管理費と修繕積立金は、会計上区分する必要はなく、同一の会計で処理すれば足りる。,修繕積立金は、計画修繕その他特別の管理に要する経費に充当するために積み立てるものとされている。,4,正解は4。選択肢1（誤り）　管理費は、通常の管理に要する経費に充当する性質のものであり、大規模修繕工事費用を主目的とするものではない。選択肢2（誤り）　日常の清掃費や管理員業務費は、通常、管理費から支出される。修繕積立金の主たる使途ではない。選択肢3（誤り）　管理費会計と修繕積立金会計は、目的が異なるため区分して経理するのが基本である。選択肢4（正しい）　修繕積立金は、計画修繕その他特別の管理に要する経費に充当するために積み立てるものとされる。本肢の記述は正当である。,選択肢4（正しい）　修繕積立金は、計画修繕その他特別の管理に要する経費に充当するために積み立てるものとされる。,選択肢4（正しい）　修繕積立金は、計画修繕その他特別の管理に要する経費に充当するために積み立てるものとされる。,1:選択肢1（誤り） 管理費は、通常の管理に要する経費に充当する性質のものであり、大規模修繕工事費用を主目的とするものではない。;2:（2）の内容は、正答（4）「修繕積立金は、計画修繕その他特別の管理に要する経費に充当するために積み立てるものとされている。」が示す論点とずれています。;3:選択肢3（誤り） 管理費会計と修繕積立金会計は、目的が異なるため区分して経理するのが基本である。,
9,single,民法,誤り選択;民法,共有に関する次の記述のうち、民法の定めによれば、誤っているものはどれか。,,,,,,各共有者は、共有物の全部について、その持分に応じた使用をすることができる。,共有物の保存行為は、共有者全員の同意がなければ行うことができない。,共有物の変更は、原則として他の共有者全員の同意を得なければならない。,各共有者は、いつでも共有物の分割を請求することができるが、一定期間分割をしない旨の契約をすることもできる。,2,正解は2。選択肢1（正しい）　各共有者は、共有物の全部について、その持分に応じた使用をすることができる（民法第249条第1項）。本肢の記述は正当である。選択肢2（誤り）　共有物の保存行為は、各共有者が単独ですることができる（同法第252条第5項）。全員の同意が必要とする本肢は誤っている。選択肢3（正しい）　共有物に変更を加えるには、原則として他の共有者全員の同意を得なければならない（同法第251条第1項）。本肢の記述は正当である。選択肢4（正しい）　各共有者はいつでも共有物の分割を請求できるが、5年を超えない期間内は分割をしない契約をすることができる（同法第256条）。本肢の記述は正当である。,選択肢2（誤り）　共有物の保存行為は、各共有者が単独ですることができる（同法第252条第5項）。,選択肢2（誤り）　共有物の保存行為は、各共有者が単独ですることができる（同法第252条第5項）。,1:選択肢1（正しい）　各共有者は、共有物の全部について、その持分に応じた使用をすることができる（民法第249条第1項）。;3:選択肢3（正しい）　共有物に変更を加えるには、原則として他の共有者全員の同意を得なければならない（同法第251条第1項）。;4:選択肢4（正しい）　各共有者はいつでも共有物の分割を請求できるが、5年を超えない期間内は分割をしない契約をすることができる（同法第256条）。,
10,single,民法,正解選択;民法,売買契約における契約不適合責任に関する次の記述のうち、民法の定めによれば、内容が正確なものはどれか。,,,,,,買主は、目的物が契約の内容に適合しない場合であっても、追完を請求することはできない。,契約不適合がある場合、買主は常に直ちに契約を解除しなければならず、代金減額請求は認められない。,目的物が契約の内容に適合しない場合、買主は、履行の追完を請求することができる。,売主に故意又は過失がない場合、買主は契約不適合を理由とするいかなる権利も行使することができない。,3,正解は3。選択肢1（誤り）　目的物が契約の内容に適合しない場合、買主は、原則として履行の追完を請求することができる（民法第562条第1項）。選択肢2（誤り）　契約不適合がある場合、買主には追完請求、代金減額請求、損害賠償請求、解除などの手段があり、常に直ちに解除しなければならないわけではない。選択肢3（正しい）　買主は、目的物が契約の内容に適合しないときは、修補、代替物の引渡し又は不足分の引渡しによる履行の追完を請求できる。本肢の記述は正当である。選択肢4（誤り）　追完請求や代金減額請求は、売主の故意又は過失の有無だけで一律に排除されるものではない。,選択肢3（正しい）　買主は、目的物が契約の内容に適合しないときは、修補、代替物の引渡し又は不足分の引渡しによる履行の追完を請求できる。,選択肢1（誤り）　目的物が契約の内容に適合しない場合、買主は、原則として履行の追完を請求することができる（民法第562条第1項）。 選択肢3（正しい）　買主は、目的物が契約の内容に適合しないときは、修補、代替物の引渡し又は不足分の引渡しによる履行の追完を請求できる。,1:選択肢1（誤り）　目的物が契約の内容に適合しない場合、買主は、原則として履行の追完を請求することができる（民法第562条第1項）。;2:選択肢2（誤り） 契約不適合がある場合、買主には追完請求、代金減額請求、損害賠償請求、解除などの手段があり、常に直ちに解除しなければならないわけではない。;4:選択肢4（誤り） 追完請求や代金減額請求は、売主の故意又は過失の有無だけで一律に排除されるものではない。,
