freq	term
2387	本肢
1869	記述
1062	正当
571	必要
561	条第
400	マンション
265	同法第
246	区分所有法
243	重要
224	規約
207	標準管理規約
193	管理組合
192	建物
169	区分所有者
164	決議
163	民法第
153	共用部分
145	標準管理規約第
140	管理
135	専有部分
134	設備
131	管理者
118	区分所有法第
117	民法
117	関係
106	不正確
106	建替
104	請求
103	単棟型
93	登記
90	集会
84	長期修繕計画
82	理事長
81	検討
81	管理適正化法
80	総会
78	議決権
78	使用
76	令和
75	変更
74	管理士
71	確認
69	修繕積立金
68	理事会
66	組合員
62	設置
59	団地型
58	理事
56	要件
55	土地
55	影響
55	書面
53	承諾
53	管理業者
52	選任
51	監事
50	費用
49	賃貸人
46	建築基準法
45	効力
45	構成
45	第三者
45	管理適正化法第
44	敷地
43	実施
43	コンクリート
43	制度
41	管理費
41	説明
40	行為
40	業務
40	可能
40	管理業務主任者
39	建築物
39	用途
39	共同住宅
38	賃借人
38	設定
38	占有者
37	過半数
37	不要
37	権利
37	標準的
37	管理実務
36	手続
36	団体
36	報告
35	全員
35	所有権
35	判例
35	見直
34	通知
34	解除
34	登録
34	複合用途型
33	当然
33	持分
33	契約
33	有効
33	コメント
33	万円
33	重要事項
33	法令又
32	義務
32	確保
32	職務
32	会計
31	招集
31	記載
31	取得
31	対抗
31	承認
31	工事
31	負担
31	支出
31	構造
30	区分所有者及
30	敷地利用権
30	建築基準法施行令第
30	出席
30	各棟
30	基本
29	区分所有者全員
29	共有
29	申請
29	同意
29	制限
29	閲覧
29	計上
29	作成
29	特別多数決議
28	部分
28	管理組合法人
28	多数
28	行使
28	管理費等
28	該当
28	割合
28	被災
28	受水槽
28	代理人
27	関与
27	会議
27	役員
27	面積
27	集会決議
26	支払
26	区別
26	各共有者
26	区分建物
26	保存行為
26	認定
25	成立
25	招集通知
25	項第
25	各区分所有者
25	組合
25	方法
25	管理者等
25	保管
25	ルール
25	責任
25	年度
24	別段
24	原因
24	利益
24	未収金
24	電磁的方法
24	漏水
24	細則
23	賃借権
23	床面積
23	更新
23	修繕工事
23	外壁
23	点検
22	団地管理組合
22	賛成
22	所有者
22	自己
22	敷地権
22	エレベーター
22	相手方
22	正味財産
22	劣化
22	契約不適合
21	禁止
21	都市計画法第
21	建築基準法第
21	水道法第
21	調査
21	標準管理委託契約書
21	管理事務
21	表示
21	処分
21	管理計画
21	監査
20	附属施設
20	譲渡
20	議事録
20	特別
20	明確
20	事務所
20	簡易専用水道
20	住戸
20	団地全体
20	月分
20	大規模修繕工事
20	区分所有者等
20	自由
20	シーリング
20	定期的
19	滅失
19	復旧
19	説明会
19	抵当権
19	用途地域
19	都市計画法
19	処理
19	現金預金
19	交付
19	時効
18	期間
18	開催
18	締結
18	転貸
18	適正
18	普通決議
18	一般的
18	提示
18	一定
18	議案
18	弁済
18	対応
18	役割
18	方針
18	外部収入
17	先取特権
17	賃貸
17	事情
17	修繕
17	競売請求
17	適合
17	防犯設計指針
17	整理
17	可能性
17	権限
17	委託
17	棟総会
17	団地総会
17	システム
17	外部専門家
17	引渡
17	合意
17	財産状況
17	区分経理
16	法第
16	消滅
16	条件
16	設置者
16	検査
16	バルコニー
16	仕訳
16	タイル
16	程度
16	時期
16	考慮
16	区域
16	充当
16	消費税
16	消防用設備等
16	重要事項説明
16	管理組合実務
15	移転
15	一部共用部分
15	団地共用部分
15	措置
15	主張
15	提供
15	経過
15	等円滑化法
15	市街化調整区域
15	理事会決議
15	正確
15	ガイドライン
15	基準
15	管理受託契約
15	団地
15	配偶者
15	提出
15	計画
15	認定基準
15	議決権行使
15	法律
15	予算
14	形状
14	財産
14	見込
14	義務付
14	無効
14	損害
14	無償
14	見通
14	配慮
14	届出
14	各過半数
14	総会提出議案
14	通常総会
14	本人
14	未払金
14	利用
14	排水
14	分離処分
14	区分所有建物
14	使用方法
14	協議
14	相続人
14	取消
14	建築確認
14	共用部分等
14	基本的
14	安全
14	敷地面積
13	効用
13	定数
13	代理
13	状況
13	持分割合
13	善意
13	不動産登記法第
13	階建
13	設置義務
13	規約変更
13	発生
13	意見
13	貸方
13	居室
13	名称
13	事務
13	不法行為責任
13	通常
13	過失
13	対抗要件
13	議長
13	方式
13	法定共用部分
13	議決権行使書
13	建蔽率
13	使用禁止請求
13	団体成立
13	個人情報
13	代表者
12	目的物
12	趣旨
12	記録
12	遺産分割
12	明渡
12	催告
12	誘導灯
12	消防法
12	毎年
12	月以内
12	遅滞
12	閲覧請求
12	前受金
12	借方
12	管理費収入
12	施工会社
12	配置
12	トラップ
12	追完請求
12	同居
12	使用細則
12	総会決議
12	管理所有
12	所有
12	建替組合
12	解任
12	専用使用権
12	明確化
12	代理権
11	共用
11	所在
11	存在
11	議決権行使者
11	委任
11	共同
11	復旧決議
11	月前
11	参加
11	場所
11	終了
11	相続
11	保護
11	債務
11	同一
11	防犯
11	観点
11	発生主義
11	増加
11	長期修繕計画作成
11	維持
11	鉄筋
11	排水管
11	排水立
11	注意
11	管理業務主任者証
11	資料
11	共有物
11	要領
11	配偶者居住権
11	利害関係
11	単独
11	有無
11	遺贈
11	遵守
11	団地修繕積立金
11	運営
